event;venue;year;month;event_type;organizer;result;country;crew;boat_type;distance;age_category;gender;race_number;lane_number;stage;all comers;comment
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:57.981;New Zealand;National Team;10;200;senior A;women;199;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:57.999;Germany;National Team;10;200;premier;women;212;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.005;United States;National Team;10;200;u24;women;243;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.049;Chinese Taipei;National Team;10;200;premier;women;262;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.059;Iran;National Team;10;200;premier;women;213;6;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.182;Hong Kong;National Team;10;200;senior A;mixed;151;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.190;Australia;National Team;10;200;junior A;mixed;171;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.285;Japan;National Team;10;200;senior B;open;224;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.304;Great Britain;National Team;10;200;u24;mixed;168;6;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.324;Korea;National Team;10;200;premier;open;237;6;rep 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.387;Thailand;National Team;20;200;senior A;mixed;165;6;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.397;China;National Team;10;200;senior A;mixed;152;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.443;Hong Kong;National Team;10;200;premier;women;266;6;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.482;Switzerland;National Team;10;200;premier;women;262;6;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.482;India;National Team;10;200;senior A;open;204;6;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.500;Italy;National Team;10;200;senior A;mixed;167;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.572;Hungary;National Team;10;200;senior B;mixed;148;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.612;Italy;National Team;10;200;senior A;mixed;184;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.613;Thailand;National Team;10;200;junior A;women;223;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.628;United States;National Team;10;200;u24;women;210;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.696;Singapore;National Team;10;200;senior C;open;226;5;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.733;Hong Kong;National Team;10;200;senior A;mixed;184;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.735;Chinese Taipei;National Team;10;200;premier;women;214;1;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.752;Thailand;National Team;10;200;junior B;women;206;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.765;Australia;National Team;10;200;junior B;women;239;5;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.820;China;National Team;10;200;senior C;mixed;162;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.947;Australia;National Team;10;200;senior B;women;192;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:58.990;Canada;National Team;10;200;senior C;mixed;162;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.026;China;National Team;10;200;senior A;mixed;167;4;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.028;Singapore;National Team;10;200;senior C;open;190;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.033;Chinese Taipei;National Team;10;200;premier;women;266;5;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.034;Hong Kong;National Team;10;200;premier;women;214;4;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.056;Russia;National Team;10;200;senior B;mixed;164;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.057;Japan;National Team;10;200;senior B;open;255;5;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.195;Japan;National Team;10;200;premier;women;212;6;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.201;Japan;National Team;10;200;senior B;open;196;1;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.256;Australia;National Team;10;200;junior A;mixed;156;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.261;Hong Kong;National Team;10;200;premier;women;261;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.264;Thailand;National Team;10;200;senior A;women;254;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.329;China;National Team;10;200;senior A;mixed;183;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.439;China;National Team;10;200;senior C;mixed;144;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.776;Canada;National Team;10;200;senior C;mixed;144;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.808;Russia;National Team;10;200;senior B;mixed;147;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.908;Germany;National Team;10;200;senior B;women;228;5;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:59.941;Italy;National Team;10;200;senior A;women;254;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.084;Japan;National Team;10;200;premier;mixed;172;1;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.115;Thailand;National Team;10;200;senior A;women;198;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.309;Russia;National Team;10;200;senior B;mixed;179;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.309;Canada;National Team;10;200;junior B;mixed;171;7;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.333;United States;National Team;10;200;senior A;women;254;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.392;Spain;National Team;10;200;senior A;mixed;166;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.393;United States;National Team;10;200;senior B;women;228;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.617;United States;National Team;10;200;junior A;women;223;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.618;Russia;National Team;10;200;premier;women;265;4;tail 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.629;Switzerland;National Team;10;200;premier;women;212;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.646;United States;National Team;10;200;senior A;women;198;1;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.680;Singapore;National Team;10;200;junior A;women;189;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.705;Russia;National Team;10;200;premier;women;214;2;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.713;Spain;National Team;10;200;junior A;women;223;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.769;Australia;National Team;10;200;junior B;women;206;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.801;Japan;National Team;10;200;premier;mixed;142;1;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.840;Sweden;National Team;10;200;senior B;mixed;147;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.845;Sweden;National Team;10;200;senior B;mixed;179;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.885;Great Britain;National Team;10;200;senior B;women;228;6;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:00.963;United States;National Team;10;200;junior B;women;239;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.017;Spain;National Team;10;200;senior A;mixed;183;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.124;Italy;National Team;10;200;senior A;women;231;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.157;Thailand;National Team;10;200;junior A;women;189;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.272;Germany;National Team;10;200;senior B;women;192;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.303;Japan;National Team;10;200;premier;mixed;160;5;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.480;Sweden;National Team;10;200;senior B;mixed;164;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.481;Russia;National Team;10;200;premier;women;246;5;rep 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.532;Singapore;National Team;10;200;senior A;women;231;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.574;Australia;National Team;10;200;u24;women;210;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.592;Australia;National Team;10;200;u24;women;243;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.784;Singapore;National Team;10;200;senior A;women;198;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.929;Italy;National Team;10;200;senior A;women;199;5;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:01.948;Russia;National Team;10;200;senior C;mixed;162;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.113;Canada;National Team;10;200;junior B;mixed;156;7;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.123;United States;National Team;10;200;junior A;mixed;171;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.162;Philippines;National Team;10;200;senior A;women;231;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.233;Hong Kong;National Team;10;200;senior A;women;231;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.276;Philippines;National Team;10;200;senior A;women;253;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.304;Ukraine;National Team;10;200;senior A;women;231;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.478;Russia;National Team;10;200;senior C;mixed;144;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.558;United States;National Team;10;200;junior A;mixed;156;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.594;Germany;National Team;10;200;senior C;women;223;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.599;Spain;National Team;10;200;senior A;mixed;151;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.654;Philippines;National Team;10;200;senior A;women;198;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.771;Spain;National Team;10;200;junior A;women;189;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:02.925;Spain;National Team;10;200;premier;women;265;2;tail 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.001;Spain;National Team;10;200;premier;women;214;5;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.231;United States;National Team;10;200;junior B;women;206;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.334;Hong Kong;National Team;10;200;senior A;women;253;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.411;Spain;National Team;10;200;premier;women;245;1;rep 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.516;Singapore;National Team;10;200;senior A;women;254;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.539;United States;National Team;10;200;junior A;women;189;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.806;United States;National Team;10;200;senior B;women;192;6;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.953;Great Britain;National Team;10;200;senior B;women;192;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:03.980;Ukraine;National Team;10;200;senior A;women;199;1;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:04.194;Hong Kong;National Team;10;200;senior A;women;199;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:04.343;Germany;National Team;10;200;senior C;women;189;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:04.660;New Zealand;National Team;10;200;senior B;women;228;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:05.076;New Zealand;National Team;10;200;senior B;women;192;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:05.598;India;National Team;10;200;premier;mixed;159;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:05.659;India;National Team;10;200;premier;mixed;172;6;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:06.993;Singapore;National Team;10;200;senior B;women;228;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:07.622;India;National Team;10;200;junior A;mixed;168;7;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:08.379;India;National Team;10;200;junior A;mixed;154;7;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:08.423;Ukraine;National Team;10;200;senior A;women;253;2;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:08.581;India;National Team;10;200;junior A;open;244;6;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:08.645;India;National Team;10;200;junior A;open;211;6;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:09.741;Singapore;National Team;10;200;senior B;women;192;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:10.559;India;National Team;10;200;premier;mixed;141;6;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:11.187;India;National Team;10;200;premier;women;214;6;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:11.321;India;National Team;10;200;premier;women;265;5;tail 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:14.332;India;National Team;10;200;premier;women;246;1;rep 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:25.266;Germany;National Team;20;200;senior A;open;260;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:47.823;China;National Team;20;500;premier;open;363;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:48.746;Thailand;National Team;20;500;premier;open;363;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:49.396;China;National Team;20;500;premier;open;312;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:49.792;Thailand;National Team;20;500;premier;open;313;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:50.755;Canada;National Team;20;500;premier;open;312;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:50.855;United States;National Team;20;500;premier;open;313;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:51.109;United States;National Team;20;500;premier;open;363;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:51.380;Thailand;National Team;20;500;premier;mixed;136;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:51.747;Canada;National Team;20;500;premier;open;363;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:52.032;Chinese Taipei;National Team;20;500;premier;open;363;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:52.319;Indonesia;National Team;20;500;premier;mixed;136;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:52.714;Canada;National Team;20;500;u24;open;315;5;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:52.878;Chinese Taipei;National Team;20;500;premier;open;313;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:52.945;Canada;National Team;20;500;senior A;open;352;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:53.018;Thailand;National Team;20;500;u24;open;315;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:53.230;Canada;National Team;20;500;premier;mixed;136;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:53.252;United States;National Team;20;500;premier;mixed;136;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:53.300;China;National Team;20;500;premier;mixed;136;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:53.364;United States;National Team;20;500;premier;open;341;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.253;Indonesia;National Team;20;500;premier;mixed;117;4;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.590;Canada;National Team;20;500;u24;open;285;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.594;Chinese Taipei;National Team;20;500;premier;open;342;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.660;Italy;National Team;20;500;premier;open;341;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.871;Thailand;National Team;20;500;senior A;open;352;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:54.981;Czech Republic;National Team;20;500;premier;open;342;2;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:55.013;Thailand;National Team;20;500;u24;open;285;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:55.019;United States;National Team;20;500;senior A;open;352;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:55.187;United States;National Team;20;500;premier;mixed;117;3;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:55.745;China;National Team;20;500;premier;mixed;115;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.006;Italy;National Team;20;500;premier;open;312;6;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.048;United States;National Team;20;500;u24;open;315;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.195;Thailand;National Team;20;500;premier;mixed;116;3;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.275;Canada;National Team;20;500;premier;mixed;115;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.381;Germany;National Team;20;500;senior A;open;352;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.403;Indonesia;National Team;20;500;premier;mixed;84;4;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.426;Canada;National Team;20;500;senior A;open;293;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.585;Thailand;National Team;20;500;u24;mixed;123;3;round 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:56.780;Thailand;National Team;20;500;u24;mixed;107;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.131;Thailand;National Team;20;500;senior B;open;348;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.216;United States;National Team;20;500;senior A;open;326;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.288;Canada;National Team;20;500;u24;mixed;107;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.348;Canada;National Team;20;500;u24;mixed;123;1;round 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.378;Thailand;National Team;20;500;junior A;open;306;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.449;Ukraine;National Team;20;500;premier;mixed;135;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.535;Canada;National Team;20;500;senior A;mixed;130;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.537;Italy;National Team;20;500;premier;open;363;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.595;United States;National Team;20;500;senior B;open;348;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.604;Canada;National Team;20;500;premier;mixed;84;3;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.651;Germany;National Team;20;500;premier;mixed;136;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.697;Germany;National Team;20;500;premier;mixed;117;2;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.762;Thailand;National Team;20;500;senior A;open;294;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.804;Ukraine;National Team;20;500;premier;mixed;116;5;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:57.964;China;National Team;20;500;premier;mixed;81;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.021;United States;National Team;20;500;senior A;open;294;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.024;Thailand;National Team;20;500;junior A;open;335;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.265;Canada;National Team;20;500;senior B;open;348;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.560;Czech Republic;National Team;20;500;premier;open;362;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.744;Canada;National Team;20;500;senior A;mixed;92;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.766;Philippines;National Team;20;500;premier;open;312;1;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:58.939;Germany;National Team;20;500;premier;mixed;81;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.138;Macau;National Team;20;500;premier;open;341;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.145;Philippines;National Team;20;500;premier;open;342;4;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.218;United States;National Team;20;500;u24;open;285;5;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.399;Macau;National Team;20;500;premier;open;362;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.526;Great Britain;National Team;20;500;premier;open;341;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.706;Ukraine;National Team;20;500;premier;mixed;84;2;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.770;Philippines;National Team;20;500;senior A;open;326;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.838;Thailand;National Team;20;500;u24;mixed;94;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.840;Thailand;National Team;20;500;premier;mixed;82;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;01:59.994;Canada;National Team;20;500;u24;mixed;94;3;round 1;;
